经验不限 ,本科,[上海·田林],年底双薪,股票期权,带薪年假,绩效奖金,“发展空间大 期权激励 弹性工作”,移动互联网,其他 / B轮
Python,16:23发布,瓜子二手车直卖网,20k-30k,经验1-3年 ,本科,[北京],汽车,“核心项目 BI方向 等你来挑战”,O2O / C轮
python开发工程师,2天前发布,有利网,20k-30k,经验3-5年 ,本科,[北京·三元桥],GO,php,golang,“五险一金,双休,法定节假日,年底多薪”,金融 / 不需要融资
python研发工程师,2天前发布,国美金控,30k-40k,经验5-10年 ,本科,[北京·朝阳区],云计算,Java,C/C++,linux,“大平台,新项目,领导卓越”,金融 / 未融资
Python开发工程师,2天前发布,杉数科技,18k-22k,经验3-5年 ,本科,[北京·和平里],Java,MySQL,“超优质团队,大牛带领,福利多多,发展前景”,数据服务,移动互联网 / A轮
Python开发,2天前发布,百旺金赋,6k-10k,经验1-3年 ,本科,[武汉·东湖新…],云计算,PHP,Shell,linux,系统工程师,“双休,五险一金,14薪,免费班车”,移动互联网,其他 / 不需要融资
Python开发工程师,2天前发布,纳米盒,15k-25k,经验3-5年 ,本科,[上海·张江],云计算,linux,php,Java,Ruby,“发展前景大、工作氛围好、技术牛人多”,移动互联网,教育 / B轮
Python研发工程师,3天前发布,酷家乐,15k-23k,经验1-3年 ,本科,[杭州·西溪],后端开发,Java,系统开发,golang,“期权激励、年度旅游、年终丰厚、零食水果”,移动互联网 / D轮及以上
Python工程师,2018-06-20,TELETRAAN,15k-30k,经验3-5年 ,本科,[杭州·西兴],高级,后端开发,web,“弹性工作,硅谷团队,股权激励,全正版软件”,数据服务,企业服务 / 天使轮
Python开发工程师,2天前发布,乐飞天下,11k-20k,经验3-5年 ,大专,[北京·大望路],旅游,Java,“五险一金弹性工作时间带薪年假年底旅游等”,移动互联网,旅游 / 未融资
Python开发工程师,2天前发布,武汉佰钧成技术有限公司,8k-14k,经验3-5年 ,大专,[南京·建邺区],MySQL,django,“带薪年假,五险一金,双休国假”,移动互联网 / 不需要融资
python开发工程师,2018-06-20,武汉安天,8k-13k,经验1-3年 ,本科,[武汉·东湖新…],高级,php,Java,“五险一金,试用不打折,免费班车,员工旅游”,移动互联网 / 未融资
Python开发工程师,2018-06-19,坤亿科技,8k-11k,经验1-3年 ,本科,[上海·浦东新…],Ruby,“五险一金,周末双休,绩效奖金,弹性工作”,电子商务,企业服务 / 不需要融资
Python开发工程师,2天前发布,复华控股,15k-30k,经验5-10年 ,大专,[北京·团结湖],广告营销,大数据,数据挖掘,算法,“提升空间大”,电子商务,O2O / 不需要融资
Python工程师,2天前发布,星云Clustar,15k-30k,经验1-3年 ,本科,[北京·望京],云计算,linux,Java,Go,golang,“AI最前线,技术领先,科研创新,全额福利”,企业服务 数据服务 / 天使轮
Python开发工程师,2天前发布,Wise2c,15k-30k,经验3-5年 ,本科,[深圳·大冲],云计算,高级,中级,Java,web,“13薪,年终奖,公司福利好,公司氛围好”,移动互联网,其他 / 天使轮
